"Call No","Closed Date","Chargeable","Days With APT","Project Work","Quote Time","Time Hours Estimated","Time Hours Total"
"158465","21 Jan 2016","U","767","","0","0.00","0.00"
"160492","25 Jan 2016","N","636","N","0","0.00","0.33"
"161192","4 Jan 2016","Y","587","Y","0","0.00","0.00"
"162852","22 Jan 2016","U","351","N","0","0.00","79.07"
"163136","4 Jan 2016","R","82","","4","2.00","2.98"
"163770","1 Feb 2016","Y","266","N","29","0.00","51.10"
"164110","17 Feb 2016","N","348","N","0","5.00","11.39"
"164153","21 Jan 2016","N","382","N","0","0.00","0.25"
"164192","1 Feb 2016","N","382","N","0","0.00","2.25"
"164332","25 Jan 2016","N","368","","0","0.00","0.00"
"164600","25 Jan 2016","U","349","Y","0","0.00","0.00"
"164737","3 Feb 2016","Y","232","","0","0.00","14.90"
"164945","25 Jan 2016","N","324","","0","0.00","0.24"
"164953","11 Feb 2016","Y","335","N","3","0.00","2.82"
"164958","21 Jan 2016","N","319","","0","0.00","0.00"
"164981","21 Jan 2016","N","317","N","0","0.00","2.08"
"164986","24 Feb 2016","N","1","","0","0.00","0.50"
"165057","16 Feb 2016","U","330","Y","0","0.00","498.75"
"165066","24 Feb 2016","N","0","","0","0.00","0.16"
"165090","19 Jan 2016","N","307","","0","0.00","0.00"
"165112","21 Jan 2016","N","309","N","0","0.00","0.33"
"165225","16 Feb 2016","U","319","Y","0","0.00","7.50"
"165226","16 Feb 2016","U","319","Y","0","0.00","0.00"
"165228","16 Feb 2016","U","319","Y","0","0.00","1.00"
"165229","16 Feb 2016","U","319","Y","0","0.00","0.00"
"165230","16 Feb 2016","U","319","Y","0","0.00","2.25"
"165257","19 Feb 2016","N","193","N","0","0.00","2.32"
"165263","21 Jan 2016","N","298","N","0","0.00","0.50"
"165272","19 Feb 2016","U","108","","0","0.00","4.33"
"165658","3 Feb 2016","C","219","N","0","0.00","2.33"
"165660","12 Feb 2016","U","36","","0","0.00","1.65"
"165754","24 Feb 2016","U","1","","0","0.00","3.84"
"165894","22 Jan 2016","N","253","N","0","0.00","0.00"
"165977","3 Feb 2016","N","150","N","0","3.00","4.47"
"166036","17 Feb 2016","U","11","","0","0.00","0.66"
"166048","15 Feb 2016","U","2","","0","0.00","0.00"
"166080","24 Feb 2016","R","131","N","2","1.00","2.97"
"166101","15 Feb 2016","N","2","N","0","0.00","0.50"
"166231","3 Feb 2016","R","247","N","0","0.00","0.00"
"166232","17 Feb 2016","N","220","N","0","0.00","3.80"
"166235","22 Jan 2016","U","35","","0","0.00","1.58"
"166304","15 Feb 2016","N","11","N","0","0.00","0.00"
"166308","12 Feb 2016","N","8","N","0","0.00","4.00"
"166347","11 Feb 2016","N","8","N","0","0.00","0.08"
"166516","24 Feb 2016","N","192","N","0","0.00","1.49"
"166559","24 Feb 2016","N","0","N","0","0.00","0.16"
"166592","16 Feb 2016","U","244","Y","0","0.00","0.00"
"166593","16 Feb 2016","U","244","Y","0","0.00","0.00"
"166605","15 Jan 2016","N","221","N","0","0.00","0.00"
"166614","25 Jan 2016","N","226","N","0","0.00","0.50"
"166658","5 Jan 2016","N","211","","0","0.00","0.00"
"166710","26 Jan 2016","U","223","Y","0","0.00","0.00"
"166712","19 Jan 2016","Y","218","Y","0","0.00","0.00"
"166732","24 Feb 2016","N","0","","0","0.00","0.83"
"166742","4 Jan 2016","U","206","Y","0","0.00","0.00"
"166768","24 Feb 2016","N","0","N","0","0.00","0.24"
"166796","21 Jan 2016","N","215","N","0","0.00","0.41"
"166810","24 Feb 2016","N","37","","0","3.00","1.41"
"166813","21 Jan 2016","U","214","","0","0.00","0.33"
"166890","17 Feb 2016","N","0","N","0","0.00","0.57"
"166891","24 Feb 2016","U","172","","0","0.00","1.16"
"166910","7 Jan 2016","Y","200","Y","0","0.00","0.00"
"166913","4 Feb 2016","U","80","","0","0.00","0.58"
"166955","19 Jan 2016","N","204","N","0","0.00","1.00"
"166956","19 Jan 2016","N","204","N","0","0.00","0.00"
"166958","19 Jan 2016","N","204","N","0","0.00","0.00"
"167036","24 Feb 2016","N","151","N","0","0.00","12.57"
"167061","20 Jan 2016","U","199","Y","0","0.00","86.00"
"167077","17 Feb 2016","N","1","N","0","0.00","0.41"
"167105","19 Feb 2016","U","52","Y","0","0.00","43.35"
"167131","4 Jan 2016","Y","144","N","3","0.00","4.64"
"167196","19 Feb 2016","Y","49","","3","0.00","1.01"
"167217","17 Feb 2016","N","66","","0","0.00","0.75"
"167232","10 Feb 2016","N","0","N","0","0.00","0.58"
"167281","19 Jan 2016","N","185","N","0","0.00","0.00"
"167311","10 Feb 2016","N","0","N","0","0.00","3.25"
"167320","10 Feb 2016","N","0","N","0","0.00","0.58"
"167326","10 Feb 2016","U","0","","0","0.00","0.25"
"167361","6 Jan 2016","R","118","","0","0.00","6.56"
"167445","10 Feb 2016","N","114","N","0","0.00","0.41"
"167536","21 Jan 2016","U","12","","0","0.00","0.41"
"167583","3 Feb 2016","Y","7","Y","4","0.00","5.26"
"167604","24 Feb 2016","C","41","","0","0.00","6.81"
"167607","20 Jan 2016","C","25","","0","0.00","16.32"
"167614","3 Feb 2016","U","22","","0","0.00","3.33"
"167624","21 Jan 2016","N","172","","0","0.00","0.00"
"167632","3 Feb 2016","U","13","","0","0.00","0.00"
"167642","5 Jan 2016","N","125","N","0","0.00","0.08"
"167666","19 Feb 2016","B","135","","3","0.00","3.58"
"167669","25 Jan 2016","N","171","","0","0.00","0.00"
"167690","11 Feb 2016","U","167","Y","0","0.00","0.00"
"167700","25 Jan 2016","F","170","N","0","0.00","5.25"
"167715","3 Feb 2016","U","20","","0","0.00","0.75"
"167726","18 Feb 2016","Y","187","N","0","0.00","0.00"
"167750","25 Jan 2016","U","167","","0","0.00","0.50"
"167752","3 Feb 2016","N","46","N","0","0.00","0.58"
"167763","25 Jan 2016","U","142","","0","0.00","1.00"
"167771","27 Jan 2016","C","127","N","0","0.00","15.38"
"167833","3 Feb 2016","N","1","","0","0.00","0.66"
"167869","3 Feb 2016","N","2","N","0","0.00","2.33"
"167983","27 Jan 2016","U","78","","0","0.00","0.50"
"167986","1 Feb 2016","U","8","","0","0.00","1.83"
"168008","8 Jan 2016","C","115","","0","0.00","3.47"
"168041","4 Jan 2016","N","109","N","0","0.00","4.48"
"168052","27 Jan 2016","N","1","N","0","0.00","0.25"
"168074","14 Jan 2016","N","2","N","0","0.00","6.97"
"168131","27 Jan 2016","N","3","N","0","0.00","1.23"
"168191","27 Jan 2016","U","0","","0","0.00","1.91"
"168210","27 Jan 2016","N","0","N","0","0.00","0.16"
"168252","25 Jan 2016","N","137","N","0","0.00","1.08"
"168263","27 Jan 2016","N","2","N","0","0.00","0.49"
"168267","20 Jan 2016","N","118","N","0","0.00","1.50"
"168271","20 Jan 2016","R","58","Y","29","0.00","4.75"
"168284","20 Jan 2016","N","0","N","0","0.00","0.63"
"168312","20 Jan 2016","U","9","","0","0.00","0.16"
"168331","27 Jan 2016","Y","99","","1","0.00","2.48"
"168332","18 Feb 2016","R","150","","3","0.00","9.82"
"168349","20 Jan 2016","N","0","N","0","1.15","0.00"
"168359","26 Jan 2016","U","129","","0","0.00","29.25"
"168364","4 Jan 2016","Y","48","Y","0","0.00","30.74"
"168403","20 Jan 2016","Y","60","N","5","3.00","5.97"
"168414","13 Jan 2016","U","76","","0","0.00","3.07"
"168426","8 Feb 2016","B","101","","1","1.00","6.16"
"168442","13 Jan 2016","U","29","","0","0.00","2.20"
"168449","2 Feb 2016","Y","131","Y","0","0.00","1.75"
"168489","9 Feb 2016","Y","134","","1","0.00","0.66"
"168505","27 Jan 2016","N","17","N","0","0.00","3.39"
"168519","13 Jan 2016","R","0","","0","0.00","0.75"
"168520","19 Feb 2016","U","62","","0","0.00","2.63"
"168538","27 Jan 2016","Y","73","","2","1.00","5.21"
"168556","24 Feb 2016","U","109","","0","0.00","0.33"
"168557","6 Jan 2016","U","109","","0","0.00","3.65"
"168564","9 Feb 2016","Y","133","Y","0","0.00","0.00"
"168578","10 Feb 2016","U","98","","0","0.00","0.50"
"168617","7 Jan 2016","U","78","","0","0.00","0.82"
"168630","12 Feb 2016","N","76","N","0","0.00","3.89"
"168651","22 Feb 2016","U","135","","0","0.00","0.65"
"168695","24 Feb 2016","Y","65","N","5","3.00","0.00"
"168707","20 Jan 2016","R","4","N","0","0.00","0.00"
"168708","11 Jan 2016","Y","62","N","8","4.00","9.66"
"168732","20 Jan 2016","U","25","","0","0.00","0.00"
"168741","6 Jan 2016","U","5","","0","0.00","0.50"
"168751","10 Feb 2016","Y","22","N","1","0.50","1.72"
"168752","4 Jan 2016","U","78","","0","0.00","3.74"
"168764","18 Jan 2016","Y","90","","2","1.00","0.66"
"168778","27 Jan 2016","N","138","N","0","0.00","10.82"
"168802","13 Jan 2016","U","44","","0","0.00","4.64"
"168830","3 Feb 2016","Y","51","N","2","1.00","1.24"
"168835","3 Feb 2016","R","104","","1","1.00","1.50"
"168844","6 Jan 2016","Y","54","","2","1.00","1.41"
"168845","10 Feb 2016","U","48","","0","0.00","2.48"
"168866","20 Jan 2016","Y","95","","3","1.00","1.32"
"168872","6 Jan 2016","Y","49","N","5","3.00","3.24"
"168873","20 Jan 2016","U","63","N","0","0.00","1.16"
"168940","13 Jan 2016","N","0","N","0","0.00","0.32"
"168961","1 Feb 2016","Y","36","","8","0.00","10.91"
"168962","20 Jan 2016","N","77","N","0","0.00","3.63"
"168971","13 Jan 2016","N","0","","0","0.00","0.50"
"168988","11 Jan 2016","Y","63","N","0","7.50","13.82"
"169026","27 Jan 2016","R","8","N","0","0.00","0.25"
"169061","27 Jan 2016","Y","84","N","6","4.00","9.75"
"169063","3 Feb 2016","N","4","N","0","0.00","1.83"
"169075","4 Jan 2016","N","77","Y","0","0.00","0.00"
"169077","6 Jan 2016","N","79","Y","0","0.00","1.00"
"169085","3 Feb 2016","Y","59","","4","4.00","7.75"
"169099","13 Jan 2016","N","49","N","0","0.00","0.50"
"169130","3 Feb 2016","N","64","N","0","0.00","0.41"
"169133","6 Jan 2016","R","4","N","0","0.00","0.91"
"169142","13 Jan 2016","Y","15","Y","0","0.00","1.46"
"169189","18 Jan 2016","Y","59","","2","0.00","4.25"
"169216","27 Jan 2016","N","0","N","0","0.00","0.00"
"169221","13 Jan 2016","N","43","N","0","0.00","0.50"
"169231","27 Jan 2016","N","3","N","0","0.00","0.00"
"169320","13 Jan 2016","N","0","N","0","0.00","2.75"
"169328","19 Jan 2016","N","75","N","0","0.00","1.33"
"169355","15 Jan 2016","N","72","N","0","0.00","0.00"
"169360","20 Jan 2016","Y","26","N","5","3.00","5.39"
"169361","27 Jan 2016","R","38","N","0","0.00","5.24"
"169378","13 Jan 2016","N","4","N","0","0.00","0.50"
"169382","24 Feb 2016","Y","43","N","2","1.00","0.32"
"169399","10 Feb 2016","Y","14","N","2","1.00","3.73"
"169416","13 Jan 2016","N","1","","0","0.00","0.00"
"169437","22 Jan 2016","N","74","N","0","0.00","0.16"
"169467","27 Jan 2016","Y","16","N","3","2.00","4.87"
"169501","20 Jan 2016","U","2","","0","0.00","0.33"
"169514","13 Jan 2016","N","3","N","0","0.00","0.00"
"169559","5 Jan 2016","U","41","","0","0.00","6.91"
"169579","21 Jan 2016","Y","19","","3","2.00","7.58"
"169582","23 Feb 2016","R","83","","5","0.00","4.50"
"169585","4 Jan 2016","Y","7","N","6","0.00","0.50"
"169586","1 Feb 2016","U","72","N","0","0.00","0.00"
"169591","11 Jan 2016","U","16","","0","0.00","2.83"
"169596","24 Feb 2016","R","19","N","0","0.00","1.75"
"169600","3 Feb 2016","R","40","","0","0.00","0.58"
"169608","4 Jan 2016","Y","19","","6","4.00","2.00"
"169614","18 Jan 2016","U","55","","0","0.00","1.50"
"169626","24 Feb 2016","N","3","N","0","0.00","6.50"
"169628","13 Jan 2016","N","1","N","0","0.00","1.15"
"169629","19 Jan 2016","N","56","N","0","0.00","1.98"
"169634","18 Jan 2016","N","58","N","0","0.00","0.25"
"169639","4 Jan 2016","R","35","N","0","0.00","1.99"
"169641","3 Feb 2016","N","0","N","0","0.00","3.16"
"169643","4 Feb 2016","Y","65","","3","0.00","2.74"
"169646","10 Feb 2016","N","42","N","0","0.00","0.99"
"169661","19 Jan 2016","N","57","N","0","0.00","10.50"
"169677","13 Jan 2016","N","3","N","0","0.00","1.76"
"169685","8 Feb 2016","C","70","","0","0.00","26.41"
"169702","12 Feb 2016","N","7","N","0","0.00","2.72"
"169704","5 Jan 2016","N","43","N","0","0.00","1.74"
"169719","4 Feb 2016","N","39","N","0","0.00","4.15"
"169721","9 Feb 2016","U","31","","0","0.00","0.90"
"169730","6 Jan 2016","N","5","N","0","0.00","2.00"
"169732","10 Feb 2016","N","33","N","0","0.00","8.99"
"169752","13 Jan 2016","N","5","N","0","0.00","0.00"
"169791","14 Jan 2016","Y","34","","4","1.00","2.48"
"169801","13 Jan 2016","N","8","N","0","0.00","0.83"
"169808","16 Feb 2016","N","23","N","0","0.00","5.82"
"169814","10 Feb 2016","U","28","","0","0.00","2.37"
"169815","13 Jan 2016","N","2","N","0","0.00","2.74"
"169821","24 Feb 2016","U","15","","0","0.00","1.33"
"169824","11 Jan 2016","Y","13","N","4","2.00","1.73"
"169829","2 Feb 2016","R","18","","1","1.00","1.00"
"169831","12 Jan 2016","Y","2","N","1","1.00","1.57"
"169832","3 Feb 2016","Y","24","","2","2.00","4.32"
"169833","13 Jan 2016","N","0","N","0","0.00","0.16"
"169838","3 Feb 2016","Y","10","N","2","1.00","2.99"
"169846","17 Feb 2016","Y","68","N","1","0.00","1.57"
"169847","4 Jan 2016","N","10","N","0","0.00","0.33"
"169851","18 Jan 2016","N","46","N","0","0.00","0.16"
"169855","17 Feb 2016","U","35","N","0","0.00","1.49"
"169858","2 Feb 2016","U","45","","0","0.00","2.99"
"169861","13 Jan 2016","U","10","","0","0.00","1.08"
"169863","11 Feb 2016","Y","38","","0","0.00","0.99"
"169873","19 Jan 2016","Y","45","N","0","0.00","0.00"
"169878","18 Feb 2016","R","29","","2","1.00","0.74"
"169882","14 Jan 2016","Y","23","N","1","0.00","0.00"
"169884","3 Feb 2016","N","23","N","0","0.00","0.16"
"169885","13 Jan 2016","N","1","N","0","0.00","0.92"
"169893","8 Jan 2016","N","6","N","0","0.00","1.98"
"169897","5 Jan 2016","U","0","","0","0.00","0.08"
"169898","6 Jan 2016","Y","4","","2","1.00","1.15"
"169899","19 Feb 2016","N","22","N","0","0.00","1.00"
"169903","4 Jan 2016","Y","33","N","0","0.00","0.16"
"169907","13 Jan 2016","U","17","N","0","0.00","1.65"
"169909","13 Jan 2016","U","0","","0","0.00","1.00"
"169910","6 Jan 2016","N","0","N","0","0.00","0.16"
"169919","4 Jan 2016","N","8","N","0","0.00","6.65"
"169932","5 Jan 2016","Y","27","","3","0.00","0.16"
"169945","23 Feb 2016","R","61","","2","0.00","0.32"
"169946","3 Feb 2016","U","15","","0","0.00","4.22"
"169947","13 Jan 2016","N","5","N","0","0.00","0.33"
"169957","13 Jan 2016","N","1","N","0","0.00","1.40"
"169964","4 Jan 2016","N","21","N","0","0.00","0.08"
"169966","3 Feb 2016","N","31","N","0","0.00","2.08"
"169970","6 Jan 2016","U","19","","0","0.00","0.33"
"169971","20 Jan 2016","N","8","N","0","0.00","3.75"
"169973","13 Jan 2016","U","20","N","0","0.00","0.49"
"169974","10 Feb 2016","N","11","N","0","0.00","1.49"
"169979","12 Jan 2016","U","19","","0","0.00","1.83"
"169982","6 Jan 2016","U","12","","0","0.00","2.41"
"169985","26 Jan 2016","N","5","N","0","0.00","0.33"
"169986","17 Feb 2016","U","9","","0","0.00","2.57"
"169987","5 Jan 2016","N","4","N","0","0.00","2.74"
"169989","15 Jan 2016","N","14","N","0","0.00","0.25"
"169990","24 Feb 2016","N","3","N","0","0.00","0.66"
"170000","5 Jan 2016","U","0","","0","0.00","0.49"
"170001","5 Jan 2016","U","0","","0","0.00","0.16"
"170003","13 Jan 2016","N","1","N","0","0.00","0.58"
"170005","13 Jan 2016","U","1","","0","0.00","0.48"
"170007","3 Feb 2016","Y","4","N","5","0.00","1.83"
"170010","13 Jan 2016","N","13","","0","0.00","0.99"
"170014","13 Jan 2016","N","2","N","0","0.00","0.50"
"170019","19 Jan 2016","Y","37","Y","0","0.00","0.00"
"170021","8 Jan 2016","Y","19","N","1","0.00","2.66"
"170023","3 Feb 2016","N","7","N","0","0.00","2.07"
"170027","12 Jan 2016","U","15","","0","0.00","1.23"
"170028","14 Jan 2016","N","13","N","0","0.00","5.65"
"170030","20 Jan 2016","U","2","Y","0","0.00","0.91"
"170031","20 Jan 2016","N","2","N","0","0.00","0.83"
"170033","11 Feb 2016","Y","18","","3","0.00","2.48"
"170035","19 Jan 2016","Y","36","Y","0","0.00","0.00"
"170059","20 Jan 2016","N","0","N","0","0.00","0.91"
"170068","15 Jan 2016","Y","5","N","5","5.00","22.16"
"170070","5 Jan 2016","R","0","N","3","0.00","0.33"
"170071","23 Feb 2016","U","43","","0","0.00","4.41"
"170072","3 Feb 2016","N","3","N","0","0.00","4.06"
"170073","20 Jan 2016","N","0","N","0","0.00","0.16"
"170076","12 Jan 2016","U","1","","0","0.00","1.82"
"170080","10 Feb 2016","N","15","N","0","0.00","0.33"
"170081","24 Feb 2016","N","15","N","0","0.00","0.32"
"170082","18 Jan 2016","N","33","N","0","0.00","1.58"
"170089","24 Feb 2016","N","18","N","0","0.00","2.16"
"170100","11 Jan 2016","Y","4","N","0","0.00","0.41"
"170102","4 Jan 2016","N","0","N","0","0.00","0.66"
"170114","12 Jan 2016","N","2","N","0","0.00","0.99"
"170118","24 Feb 2016","Y","20","N","2","0.00","1.57"
"170152","26 Jan 2016","Y","21","Y","2","1.00","6.00"
"170158","5 Jan 2016","R","19","N","2","0.00","0.65"
"170160","7 Jan 2016","U","0","","0","0.00","0.58"
"170161","21 Jan 2016","N","0","N","0","0.00","0.82"
"170163","4 Feb 2016","N","2","N","0","0.00","3.38"
"170164","27 Jan 2016","U","0","","0","0.00","0.16"
"170165","27 Jan 2016","U","0","","0","0.00","0.41"
"170166","21 Jan 2016","Y","30","","2","1.00","0.00"
"170169","19 Jan 2016","Y","12","N","2","0.00","1.23"
"170171","8 Jan 2016","N","4","N","0","0.00","1.65"
"170173","27 Jan 2016","N","2","N","0","0.00","0.66"
"170178","11 Jan 2016","U","4","","0","0.00","1.74"
"170181","4 Jan 2016","U","15","","0","0.00","0.33"
"170182","6 Jan 2016","N","0","N","0","0.00","0.66"
"170183","13 Jan 2016","Y","6","N","1","0.00","1.16"
"170190","5 Jan 2016","U","0","","0","0.00","0.33"
"170192","4 Jan 2016","N","17","N","0","0.00","7.82"
"170195","27 Jan 2016","N","0","N","0","0.00","0.00"
"170196","12 Jan 2016","N","23","N","0","0.00","1.07"
"170199","22 Feb 2016","Y","49","","1","0.00","2.00"
"170200","18 Jan 2016","Y","26","","2","0.00","1.00"
"170204","13 Jan 2016","N","0","N","0","0.00","0.41"
"170205","6 Jan 2016","N","0","N","0","0.00","0.16"
"170209","3 Feb 2016","N","1","N","0","0.00","1.66"
"170214","8 Feb 2016","Y","20","","2","0.00","5.65"
"170215","11 Jan 2016","Y","21","N","2","0.00","1.39"
"170220","3 Feb 2016","N","2","N","0","0.00","0.73"
"170221","6 Jan 2016","N","0","N","0","0.00","0.16"
"170222","27 Jan 2016","N","0","N","0","0.00","0.00"
"170223","25 Jan 2016","N","31","","0","0.00","0.50"
"170231","12 Jan 2016","U","0","","0","0.00","0.57"
"170233","3 Feb 2016","N","2","N","0","0.00","1.16"
"170235","8 Jan 2016","N","2","N","0","0.00","0.32"
"170240","11 Feb 2016","N","8","N","0","0.00","1.07"
"170241","20 Jan 2016","U","2","","0","0.00","0.82"
"170242","3 Feb 2016","N","3","N","0","0.00","0.83"
"170243","5 Jan 2016","U","4","","0","0.00","0.16"
"170244","27 Jan 2016","N","0","N","0","0.00","0.16"
"170259","20 Jan 2016","U","24","","0","0.00","0.25"
"170260","5 Jan 2016","U","16","","0","0.00","0.00"
"170261","5 Jan 2016","U","16","","0","0.00","0.00"
"170262","5 Jan 2016","U","16","","0","0.00","0.00"
"170263","5 Jan 2016","U","16","","0","0.00","0.00"
"170264","5 Jan 2016","U","16","","0","0.00","0.00"
"170265","3 Feb 2016","U","2","","0","0.00","0.25"
"170267","13 Jan 2016","N","1","N","0","0.00","0.66"
"170270","17 Feb 2016","N","32","N","0","0.00","2.06"
"170276","3 Feb 2016","N","1","N","0","0.00","0.33"
"170279","3 Feb 2016","N","1","N","0","0.00","0.66"
"170280","5 Jan 2016","U","14","","0","0.00","1.07"
"170282","21 Jan 2016","Y","17","N","8","0.00","1.33"
"170286","13 Jan 2016","N","2","N","0","0.00","0.66"
"170287","1 Feb 2016","N","12","N","0","0.00","0.57"
"170295","3 Feb 2016","N","1","N","0","0.00","0.66"
"170296","21 Jan 2016","U","8","","0","0.00","2.00"
"170298","12 Jan 2016","N","1","N","0","0.00","0.33"
"170299","3 Feb 2016","N","1","N","0","0.00","0.41"
"170300","5 Jan 2016","U","0","","0","0.00","0.16"
"170301","6 Jan 2016","N","8","N","0","0.00","0.16"
"170302","22 Jan 2016","U","0","","0","0.00","0.50"
"170307","20 Jan 2016","N","21","N","0","0.00","4.47"
"170311","12 Jan 2016","N","0","N","0","0.00","0.16"
"170312","7 Jan 2016","R","15","N","2","1.00","0.00"
"170317","27 Jan 2016","N","8","N","0","0.00","0.66"
"170318","4 Jan 2016","N","11","N","0","0.00","1.08"
"170321","10 Feb 2016","N","11","N","0","0.00","0.83"
"170323","3 Feb 2016","N","0","N","0","0.00","0.66"
"170325","3 Feb 2016","N","1","N","0","0.00","0.91"
"170331","7 Jan 2016","Y","15","Y","0","0.00","0.00"
"170332","18 Jan 2016","Y","8","N","0","0.00","0.75"
"170336","7 Jan 2016","U","9","","0","0.00","1.58"
"170338","7 Jan 2016","U","13","","0","0.00","0.74"
"170339","17 Feb 2016","U","9","","0","0.00","0.49"
"170340","5 Jan 2016","R","1","","8","0.00","0.00"
"170341","4 Feb 2016","U","2","","0","0.00","0.16"
"170351","4 Jan 2016","U","1","","0","0.00","0.50"
"170353","19 Jan 2016","U","10","","0","0.00","2.08"
"170355","27 Jan 2016","N","2","N","0","0.00","0.00"
"170358","13 Jan 2016","N","0","N","0","0.00","0.08"
"170359","10 Feb 2016","U","0","","0","0.00","0.49"
"170369","10 Feb 2016","U","2","","0","0.00","0.00"
"170372","5 Jan 2016","U","2","","0","0.00","0.50"
"170375","5 Jan 2016","N","1","N","0","0.00","0.41"
"170377","7 Jan 2016","N","0","N","0","0.00","0.75"
"170378","18 Jan 2016","Y","1","N","0","0.00","0.75"
"170379","10 Feb 2016","N","17","N","0","0.00","2.08"
"170380","15 Jan 2016","U","0","","0","0.00","0.25"
"170381","22 Jan 2016","N","5","N","0","0.00","1.08"
"170383","12 Jan 2016","N","15","N","0","0.00","0.49"
"170384","12 Jan 2016","U","2","","0","0.00","1.08"
"170386","12 Jan 2016","R","13","N","30","3.00","1.75"
"170388","10 Feb 2016","N","1","N","0","0.00","0.00"
"170389","21 Jan 2016","N","0","N","0","0.00","0.00"
"170391","10 Feb 2016","U","4","","0","0.00","0.83"
"170393","8 Feb 2016","N","33","N","0","0.00","0.08"
"170396","1 Feb 2016","N","27","N","0","0.00","0.00"
"170397","17 Feb 2016","N","3","N","0","0.00","0.00"
"170398","13 Jan 2016","N","5","N","0","0.00","1.98"
"170399","17 Feb 2016","N","3","N","0","0.00","1.82"
"170400","3 Jan 2016","N","6","N","0","0.00","0.08"
"170401","3 Feb 2016","N","3","N","0","0.00","1.24"
"170403","18 Jan 2016","N","14","N","0","0.00","0.00"
"170404","17 Feb 2016","U","3","","0","0.00","0.41"
"170405","14 Jan 2016","U","2","","0","0.00","1.57"
"170407","6 Jan 2016","N","0","N","0","0.00","0.75"
"170410","12 Jan 2016","N","0","N","0","0.00","0.00"
"170411","3 Jan 2016","N","2","N","0","0.00","0.08"
"170412","27 Jan 2016","N","0","N","0","0.00","0.75"
